run number,f,use-seed,radius,seed,q,world-size,step,number_of_cultures
1,5,TRUE,1,2863,10,4,92,6
2,5,TRUE,1,2863,10,6,138,5
3,5,TRUE,1,2863,10,8,366,2
12,5,TRUE,1,37987,10,4,51,6
13,5,TRUE,1,37987,10,6,185,9
14,5,TRUE,1,37987,10,8,402,4
4,5,TRUE,1,2863,10,10,656,5
15,5,TRUE,1,37987,10,10,579,6
5,5,TRUE,1,2863,10,12,1076,2
16,5,TRUE,1,37987,10,12,917,4
17,5,TRUE,1,37987,10,14,806,4
6,5,TRUE,1,2863,10,14,1370,3
18,5,TRUE,1,37987,10,16,1132,6
8,5,TRUE,1,2863,10,18,1375,2
23,5,TRUE,1,14811,10,4,82,2
24,5,TRUE,1,14811,10,6,95,11
25,5,TRUE,1,14811,10,8,611,2
26,5,TRUE,1,14811,10,10,600,2
19,5,TRUE,1,37987,10,18,1717,2
7,5,TRUE,1,2863,10,16,2751,2
27,5,TRUE,1,14811,10,12,1143,1
28,5,TRUE,1,14811,10,14,825,1
9,5,TRUE,1,2863,10,20,2093,1
30,5,TRUE,1,14811,10,18,1397,3
20,5,TRUE,1,37987,10,20,2732,3
34,5,TRUE,1,86296,10,4,69,5
35,5,TRUE,1,86296,10,6,315,3
36,5,TRUE,1,86296,10,8,460,1
29,5,TRUE,1,14811,10,16,2338,1
37,5,TRUE,1,86296,10,10,731,1
31,5,TRUE,1,14811,10,20,1497,2
38,5,TRUE,1,86296,10,12,1316,3
39,5,TRUE,1,86296,10,14,1181,2
40,5,TRUE,1,86296,10,16,1532,2
41,5,TRUE,1,86296,10,18,2477,1
42,5,TRUE,1,86296,10,20,3964,3
45,5,TRUE,1,36215,10,4,127,3
46,5,TRUE,1,36215,10,6,180,8
47,5,TRUE,1,36215,10,8,547,5
48,5,TRUE,1,36215,10,10,653,5
49,5,TRUE,1,36215,10,12,931,5
50,5,TRUE,1,36215,10,14,1130,2
32,5,TRUE,1,14811,10,30,3857,1
51,5,TRUE,1,36215,10,16,2294,4
52,5,TRUE,1,36215,10,18,2149,1
53,5,TRUE,1,36215,10,20,2437,1
10,5,TRUE,1,2863,10,30,8668,3
56,5,TRUE,1,43308,10,4,70,5
57,5,TRUE,1,43308,10,6,174,5
58,5,TRUE,1,43308,10,8,605,8
59,5,TRUE,1,43308,10,10,610,3
60,5,TRUE,1,43308,10,12,1543,4
21,5,TRUE,1,37987,10,30,8350,2
61,5,TRUE,1,43308,10,14,676,2
62,5,TRUE,1,43308,10,16,1249,1
63,5,TRUE,1,43308,10,18,1491,1
64,5,TRUE,1,43308,10,20,1737,1
43,5,TRUE,1,86296,10,30,8267,1
67,5,TRUE,1,15343,10,4,84,2
68,5,TRUE,1,15343,10,6,133,7
69,5,TRUE,1,15343,10,8,510,6
70,5,TRUE,1,15343,10,10,752,4
71,5,TRUE,1,15343,10,12,684,2
72,5,TRUE,1,15343,10,14,841,2
73,5,TRUE,1,15343,10,16,1342,2
74,5,TRUE,1,15343,10,18,1750,2
54,5,TRUE,1,36215,10,30,6262,1
75,5,TRUE,1,15343,10,20,2213,2
65,5,TRUE,1,43308,10,30,5622,1
78,5,TRUE,1,9467,10,4,119,2
79,5,TRUE,1,9467,10,6,534,5
80,5,TRUE,1,9467,10,8,265,5
81,5,TRUE,1,9467,10,10,431,9
82,5,TRUE,1,9467,10,12,916,3
83,5,TRUE,1,9467,10,14,1283,1
84,5,TRUE,1,9467,10,16,1948,2
85,5,TRUE,1,9467,10,18,1251,2
76,5,TRUE,1,15343,10,30,3602,3
86,5,TRUE,1,9467,10,20,2501,1
11,5,TRUE,1,2863,10,40,9974,1
89,5,TRUE,1,53819,10,4,87,2
90,5,TRUE,1,53819,10,6,139,11
91,5,TRUE,1,53819,10,8,335,3
92,5,TRUE,1,53819,10,10,530,1
93,5,TRUE,1,53819,10,12,827,4
